"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Books API Automation","6","Books Endpoints","10","0","","0"
"0","Authors API Automation","8","Authors Endpoints","3","0","","0"
